param-n,fast-rewrite-regression-cubic-real,fast-rewrite-regression-cubic-sys,fast-rewrite-regression-cubic-user,pose-build-and-refine-regression-cubic-real,pose-build-and-refine-regression-cubic-sys,pose-build-and-refine-regression-cubic-user,refine-regression-quadratic-regression-linear-real,refine-regression-quadratic-regression-linear-sys,refine-regression-quadratic-regression-linear-user
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
3,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,0.,0.,0.,0.,0.,0.,0.,0.,0.
5,0.,0.,0.,0.,0.,0.,0.,0.,0.
6,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,0.,0.,0.,0.,0.,0.,0.,0.,0.
9,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.,0.,0.,0.,0.,0.,0.,0.,0.
11,0.,0.,0.,0.,0.,0.,0.,0.,0.
12,0.,0.,0.,0.,0.,0.,0.,0.,0.
13,0.001,0.,0.,0.001,0.,0.,0.,0.,0.
14,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
15,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
16,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
17,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
18,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
19,0.044,0.003,0.04,0.044,0.003,0.04,0.,0.,0.
20,0.001,0.,0.001,0.,0.,0.,0.,0.,0.
21,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
22,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
23,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
24,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
25,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
26,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
27,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
28,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
29,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
30,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
31,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
32,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
