Params: 0-nm= 1 , 1-n= 1 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.001 secs (0.u,0.001s) (success)
Params: 0-nm= 2 , 1-n= 1 , 2-m= 2
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.006 secs (0.001u,0.004s) (success)
Params: 0-nm= 2 , 1-n= 2 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.003 secs (0.003u,0.s) (success)
Params: 0-nm= 3 , 1-n= 1 , 2-m= 3
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.015 secs (0.007u,0.007s) (success)
Params: 0-nm= 3 , 1-n= 3 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.012 secs (0.008u,0.003s) (success)
Params: 0-nm= 4 , 1-n= 2 , 2-m= 2
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.019 secs (0.011u,0.007s) (success)
Params: 0-nm= 4 , 1-n= 4 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.021 secs (0.021u,0.s) (success)
Params: 0-nm= 4 , 1-n= 1 , 2-m= 4
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.034 secs (0.034u,0.s) (success)
