param-n,abstract-regression-cubic-real,abstract-regression-cubic-sys,abstract-regression-cubic-user,close-abstract-regression-cubic-real,close-abstract-regression-cubic-sys,close-abstract-regression-cubic-user,fast-rewrite-regression-cubic-real,fast-rewrite-regression-cubic-sys,fast-rewrite-regression-cubic-user,pose-build-and-refine-regression-cubic-real,pose-build-and-refine-regression-cubic-sys,pose-build-and-refine-regression-cubic-user,refine-regression-quadratic-regression-linear-real,refine-regression-quadratic-regression-linear-sys,refine-regression-quadratic-regression-linear-user
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
9,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
11,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
12,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
13,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
14,0.001,0.,0.,0.,0.,0.,0.001,0.,0.,0.001,0.,0.,0.,0.,0.
15,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
16,0.001,0.,0.,0.,0.,0.,0.001,0.,0.,0.001,0.,0.,0.,0.,0.
17,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
18,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.,0.001,0.,0.,0.,0.,0.
19,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
20,0.002,0.001,0.001,0.,0.,0.,0.001,0.,0.,0.001,0.,0.,0.,0.,0.
21,0.002,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
22,0.002,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
23,0.002,0.,0.001,0.,0.,0.,0.002,0.,0.001,0.001,0.,0.001,0.,0.,0.
24,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
25,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
26,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
27,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
28,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
29,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
30,0.002,0.,0.002,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
31,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
32,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
33,0.003,0.,0.003,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
34,0.003,0.,0.003,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
35,0.003,0.,0.003,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
36,0.003,0.,0.003,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
37,0.004,0.,0.004,0.001,0.,0.001,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
38,0.003,0.,0.003,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
39,0.004,0.,0.004,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
40,0.004,0.,0.004,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
41,0.004,0.,0.004,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
42,0.004,0.,0.004,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
43,0.004,0.,0.004,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
44,0.005,0.,0.005,0.001,0.,0.001,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
45,0.005,0.,0.005,0.001,0.,0.001,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
46,0.007,0.,0.007,0.004,0.,0.004,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
47,0.005,0.,0.005,0.001,0.,0.001,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
48,0.005,0.,0.005,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
49,0.005,0.,0.005,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
50,0.006,0.001,0.005,0.002,0.,0.002,0.004,0.001,0.003,0.004,0.001,0.003,0.,0.,0.
51,0.005,0.,0.005,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
52,0.006,0.,0.006,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
53,0.006,0.,0.006,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
54,0.006,0.,0.006,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
55,0.007,0.,0.007,0.002,0.,0.002,0.005,0.,0.005,0.005,0.,0.005,0.001,0.,0.001
56,0.007,0.,0.007,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
57,0.007,0.,0.007,0.002,0.,0.002,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
58,0.007,0.,0.007,0.002,0.,0.002,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
59,0.007,0.,0.007,0.002,0.,0.002,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
60,0.007,0.,0.007,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
61,0.007,0.,0.007,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
62,0.012,0.,0.012,0.003,0.,0.003,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.
63,0.008,0.,0.008,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
64,0.008,0.,0.008,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
65,0.008,0.,0.008,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
66,0.009,0.,0.009,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
67,0.009,0.,0.009,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
68,0.011,0.,0.011,0.004,0.,0.004,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
69,0.009,0.,0.009,0.004,0.,0.004,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
70,0.009,0.,0.009,0.004,0.,0.004,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
71,0.01,0.,0.01,0.004,0.,0.004,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
72,0.01,0.,0.01,0.004,0.,0.004,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
73,0.014,0.,0.014,0.008,0.,0.008,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
74,0.01,0.,0.01,0.004,0.,0.004,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
75,0.011,0.,0.011,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
76,0.011,0.,0.011,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
77,0.011,0.,0.011,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
78,0.011,0.,0.011,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
79,0.012,0.,0.012,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
80,0.012,0.,0.012,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
81,0.012,0.,0.012,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
82,0.012,0.,0.012,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
83,0.014,0.,0.014,0.007,0.,0.007,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
84,0.013,0.,0.013,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
85,0.014,0.,0.013,0.007,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
86,0.014,0.,0.014,0.007,0.,0.007,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
87,0.017,0.,0.017,0.01,0.,0.01,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
88,0.015,0.,0.015,0.007,0.,0.007,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
89,0.014,0.,0.014,0.007,0.,0.007,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
90,0.015,0.,0.015,0.007,0.,0.007,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
91,0.015,0.,0.015,0.008,0.,0.008,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
92,0.017,0.,0.017,0.008,0.,0.008,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.
93,0.016,0.,0.016,0.008,0.,0.008,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
94,0.016,0.,0.016,0.008,0.,0.008,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
95,0.016,0.,0.015,0.008,0.,0.008,0.007,0.,0.006,0.007,0.,0.006,0.,0.,0.
96,0.018,0.001,0.017,0.009,0.,0.009,0.008,0.001,0.007,0.008,0.001,0.007,0.,0.,0.
97,0.017,0.,0.016,0.009,0.,0.008,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
98,0.018,0.,0.018,0.009,0.,0.009,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
99,0.018,0.,0.018,0.01,0.,0.01,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
100,0.021,0.002,0.019,0.011,0.,0.01,0.009,0.001,0.008,0.009,0.001,0.008,0.,0.,0.
110,0.025,0.,0.025,0.013,0.,0.013,0.012,0.,0.012,0.012,0.,0.012,0.,0.,0.
120,0.026,0.,0.026,0.016,0.,0.016,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
130,0.032,0.,0.032,0.02,0.,0.02,0.011,0.,0.011,0.011,0.,0.011,0.001,0.,0.001
140,0.039,0.,0.039,0.024,0.,0.024,0.013,0.,0.013,0.013,0.,0.013,0.001,0.,0.001
150,0.047,0.003,0.044,0.03,0.,0.03,0.016,0.003,0.013,0.016,0.003,0.013,0.001,0.,0.001
160,0.051,0.,0.051,0.036,0.,0.036,0.015,0.,0.015,0.015,0.,0.015,0.001,0.,0.001
170,0.059,0.,0.059,0.041,0.,0.041,0.017,0.,0.017,0.017,0.,0.017,0.001,0.,0.001
180,0.066,0.,0.066,0.048,0.,0.048,0.017,0.,0.017,0.017,0.,0.017,0.001,0.,0.001
190,0.075,0.,0.075,0.055,0.,0.055,0.019,0.,0.019,0.019,0.,0.019,0.001,0.,0.001
200,0.125,0.003,0.121,0.064,0.,0.064,0.061,0.003,0.057,0.061,0.003,0.057,0.001,0.,0.001
210,0.097,0.,0.097,0.074,0.,0.074,0.021,0.,0.021,0.021,0.,0.021,0.001,0.,0.001
220,0.107,0.,0.107,0.083,0.,0.083,0.023,0.,0.023,0.023,0.,0.023,0.001,0.,0.001
230,0.12,0.,0.12,0.094,0.,0.094,0.025,0.,0.025,0.025,0.,0.025,0.001,0.,0.001
240,0.129,0.,0.129,0.101,0.,0.101,0.028,0.,0.028,0.028,0.,0.028,0.001,0.,0.001
250,0.153,0.001,0.152,0.118,0.,0.118,0.034,0.,0.033,0.034,0.,0.033,0.001,0.,0.
260,0.167,0.,0.167,0.131,0.,0.131,0.035,0.,0.035,0.035,0.,0.035,0.001,0.,0.001
270,0.182,0.,0.182,0.139,0.,0.139,0.042,0.,0.042,0.042,0.,0.042,0.002,0.,0.002
280,0.203,0.,0.202,0.163,0.,0.163,0.039,0.,0.038,0.039,0.,0.038,0.002,0.,0.002
290,0.225,0.,0.225,0.18,0.,0.18,0.043,0.,0.043,0.043,0.,0.043,0.002,0.,0.002
300,0.25,0.,0.25,0.199,0.,0.199,0.05,0.,0.05,0.05,0.,0.05,0.002,0.,0.002
310,0.264,0.,0.263,0.217,0.,0.217,0.046,0.,0.045,0.046,0.,0.045,0.001,0.,0.001
320,0.293,0.,0.293,0.24,0.,0.24,0.052,0.,0.052,0.052,0.,0.052,0.002,0.,0.002
330,0.308,0.,0.308,0.263,0.,0.263,0.044,0.,0.044,0.044,0.,0.044,0.002,0.,0.002
340,0.335,0.,0.334,0.283,0.,0.283,0.051,0.,0.05,0.051,0.,0.05,0.007,0.,0.006
350,0.366,0.,0.365,0.309,0.,0.309,0.056,0.,0.056,0.056,0.,0.056,0.002,0.,0.002
